CLASS,NAME,GENDER,LEVEL,XP
05S06,Chloe Lim Xuan,Female,13,3202
05S07,Nurul Fatin Binte Rahim,Female,12,2950
05S08,Siti Nurhuda Binte Osman,Female,10,2251
05S06,Tan Mei Ling,Female,12,2732
05S07,Goh Shi Min,Female,8,1668
05S08,Lee Jia Hui,Female,12,2906
05S06,Muhammad Ali Bin Abdullah,Male,17,5066
05S07,David Tan Sheng Yu,Male,15,3991
05S08,Lim Wei Jie,Male,10,2280
05S06,Jason Teo Yong Sheng,Male,16,4504
05S07,Kenneth Wong Jun Kai,Male,9,2000
05S08,Daniel Lim Wei Yang,Male,13,3240
05S06,Marcus Tan Kian Leong,Male,17,4934
05S07,Brandon Lee Wen Hao,Male,8,1784
05S08,Shaun Tan Kian Ming,Male,13,3336
05S06,Mohammad Fazil Bin Rahman,Male,8,1669
05S07,Vijay Kumar S/O Ramesh,Male,8,1540
05S08,Prakash S/O Govindasamy,Male,5,930
05S06,Richard Ng Kok Leong,Male,11,2600
05S07,Samuel Lim Zheng Kai,Male,13,3116
05S08,Muthu Kumar S/O Rajan,Male,15,4184
05S06,Shawn Yeo Wei Lun,Male,7,1420
05S07,Arjun S/O Suresh,Male,8,1770
05S08,Kevin Lim Yong Jie,Male,12,2924
05S06,Aaron Wong Chee Hian,Male,13,3276
05S07,Syed Amir Bin Abdul Rahman,Male,17,5136
05S08,Nicole Tan Yu Xuan,Female,14,3533
05S06,Samantha Ng Hui Min,Female,12,2973
05S07,Cheryl Lim En Hui,Female,14,3513
05S08,Grace Lee Xin Yi,Female,14,3857
05S06,Priya D/O Bala,Female,17,5000
05S07,Jamie Tan Si Ling,Female,12,3005
05S08,Muhammad Faiz Bin Ahmad,Male,15,4106
05S06,Ethan Lim Xuan Kai,Male,12,3039
05S07,Ryan Tan Wei Hao,Male,13,3346
05S08,Harish S/O Selva,Male,13,3270
05S06,Goh Jun Kai,Male,10,2350
05S07,Eugene Tan Wei Leong,Male,8,1540
05S08,Alex Lim Jun Jie,Male,13,3320
05S06,Ben Chua Ming En,Male,15,3984
05S07,Karthik S/O Murugan,Male,10,2181
05S08,Jason Wong Wei Hong,Male,16,4360
05S06,Andy Lim Yong Kang,Male,17,5040
05S07,Samuel Ng Sheng Ren,Male,10,2141
05S08,Marcus Tan Zhi Kai,Male,14,3554
05S06,Ganesh S/O Rajendran,Male,12,2785
05S07,Bryan Lee Zhi Wei,Male,10,2310
05S08,Jonathan Tan Jun Wei,Male,15,3900
05S06,Shawn Tan Hua Jun,Male,10,2273
05S07,Louis Wong Jia Jun,Male,17,5110
05S08,Nicholas Tan Jun An,Male,16,4434
05S06,Zhang Wei Li,Male,6,1040
05S07,Derek Lim Kai Siang,Male,12,2954
